Algorithm,Test Function,Optimal Solution,Function Value,Loss (L2 Norm),Iterations,Run Time
simplex,rosenbrock,"0.9998027584239049, 0.9996826519825917",0.0,0.0004,43,0.25 seconds
simplex,booth,"1.0006782821059563, 2.9998727276193753",0.0,0.0007,46,0.21 seconds
gradient_descent,rosenbrock,"0.9932993302761107, 0.9861010333227906",0.0,0.0154,1001,0.038 seconds
gradient_descent,booth,"1.0000349016896009, 2.999965098310399",0.0,0.0,510,0.016 seconds
subgradient_descent,rosenbrock,"0.9932993302761107, 0.9861010333227906",0.0,0.0154,1001,0.038 seconds
subgradient_descent,booth,"1.000000341678605, 2.999999658321395",0.0,0.0,738,0.027 seconds
conjugate_direction,rosenbrock,"0.9999996284925282, 0.9999992519108301",0.0,0.0,45,0.084 seconds
conjugate_direction,booth,"0.9999997652702413, 3.000000210153818",0.0,0.0,29,0.037 seconds
conjugate_gradient,rosenbrock,"1.0000005609760563, 1.0000011339801809",0.0,0.0,91,0.029 seconds
conjugate_gradient,booth,"0.9999997879355589, 3.000000181314002",0.0,0.0,19,0.029 seconds
quasi_newton,rosenbrock,"1.0000000021677673, 1.0000000039786219",0.0,0.0,82,0.058 seconds
quasi_newton,booth,"0.9999999999980258, 2.9999999999980167",0.0,0.0,6,0.044 seconds
momentum,rosenbrock,"1.00000069466521, 1.0000013831884624",0.0,0.0,309,0.038 seconds
momentum,booth,"0.9999996878132618, 2.9999999363667356",0.0,0.0,301,0.028 seconds
newton,rosenbrock,"1.0, 1.0",0.0,0.0,8,0.038 seconds
newton,booth,"1.0000001192092896, 2.9999998807907104",0.0,0.0,24,0.023 seconds
damped_newton,rosenbrock,"1.0, 0.9999999999999999",0.0,0.0,12,0.035 seconds
damped_newton,booth,"1.0000001192092896, 2.9999998807907104",0.0,0.0,24,0.024 seconds
cubic_regularized_newton,rosenbrock,"1.0, 1.0",0.0,0.0,8,0.043 seconds
cubic_regularized_newton,booth,"1.0000004768371582, 2.999999523162842",0.0,0.0,22,0.036 seconds
admm,rosenbrock,"0.9999990844138162, 0.9999980950093141",0.0,0.0,45,0.264 seconds
admm,booth,"1.0000010234903693, 2.9999989765096307",0.0,0.0,28,0.245 seconds
krylov,rosenbrock,"0.9999999999999273, 0.999999999945367",0.0,0.0,7,0.056 seconds
krylov,booth,"1.0000002383991573, 2.9999997615616576",0.0,0.0,23,0.058 seconds
DOA,rosenbrock,"1.000000008944798, 0.9999999970581772",0.0,0.0,2000,1.881 seconds
DOA,booth,"0.9896512403472304, 2.9691142971161257",0.0079,0.0326,2000,0.957 seconds
